------,HYPOSTASIS,------
anemo hypostasis,Anemo Hypostasis,boss_anemo_hypostasis
electro hypostasis,Electro Hypostasis,boss_electro_hypostasis
cryo hypostasis,Cryo Hypostasis,boss_cryo_hypostasis
geo hypostasis,Geo Hypostasis,boss_geo_hypostasis
pyro hypostasis,Pyro Hypostasis,boss_pyro_hypostasis
hydro hypostasis,Hydro Hypostasis,boss_hydro_hypostasis
dendro hypostasis,Dendro Hypostasis,boss_dendro_hypostasis
------,REGISVINE,------
pyro regisvine,Pyro Regisvine,boss_pyro_regisvine
electro regisvine,Electro Regisvine,boss_electro_regisvine
cryo regisvine,Cryo Regisvine,boss_cryo_regisvine
------,RUIN MACHINES,------
ruin serpent,Ruin Serpent,boss_ruin_serpent
perpetual mechanical,Perpetual Mechanical Array,boss_perpetual_mechanical_array
aeonblight drake,Aeonblight Drake,boss_aeonblight_drake
intransient matrix,Algorithm of Semi-Intransient Matrix of Overseer Network,boss_algorithm_of_semi-intransient_matrix_of_overseer_network
prototype cal breguet,Boss Prototype Cal. Breguete,boss_prototype_cal_breguet
experimental field generator,Experimental Field Generator,boss_experimental_field_generator
legatus golem,Legatus Golem,boss_legatus_golem
------,BEASTS,------
andrius,Andrius,boss_andrius
golden wolflord,Golden Wolflord,boss_golden_wolflord
jadeplume terrorshroom,Jadeplume Terrorshroom,boss_jadeplume_terrorshroom
coral defenders,Bathysmal Vishap Herd,boss_bathysmal_vishap_herd
primo geovishap,Primo Geovishap,boss_primo_geovishap
solitary suanni,Solitary Suanni,boss_solitary_suanni
------,ELEMENTAL,------
rhodeia of loch,Rhodeia of Loch,boss_oceanid
thunder manifestation,Thunder Manifestation,boss_thunder_manifestation
hydro tulpa,Hydro Tulpa,boss_hydro_tulpa
statue of marble and brass,Statue of Marble and Brass,boss_statue_of_marble_and_brass
setekh wenut,Setekh Wenut,boss_setekh_wenut
millennial pearl seahorse,Millennial Pearl Seahorse,boss_millennial_pearl_seahorse
boss emperor of fire and iron,Boss Emperor of Fire and Iron,boss_emperor_of_fire_and_iron
goldflame qucusaur tyrant,Goldflame Qucusaur Tyrant,boss_goldflame_qucusaur_tyrant
gluttonous yumkasaur mountain king,Gluttonous Yumkasaur Mountain King,boss_gluttonous_yumkasaur_mountain_king
holawaqa ngoubou,Holawaqa Ngoubou,boss_holawaqa_ngoubou
kongamato,Kongamato,boss_kongamato
secret source automaton configuration device,Secret Source Automaton - Configuration Device,boss_secret_source_automaton_configuration_device
tenebrous papilla,Tenebrous Papilla,boss_tenebrous_papilla
wayward hermetic spiritspeaker,Wayward Hermetic Spiritspeaker,boss_wayward_hermetic_spiritspeaker
lava dragon statue,Lava Dragon Statue,boss_lava_dragon_statue
secret source automaton overseer device,Secret Source Automaton: Overseer Device,boss_secret_source_automaton_overseer_device
radiant moonfly,Radiant Moonfly,boss_radiant_moonfly
knuckle duckle,Knuckle Duckle,boss_knuckle_duckle
frostnight herra,Frostnight Herra,boss_frostnight_herra
super-heavy landrover mechanized fortress,Super-Heavy Landrover: Mechanized Fortress,boss_super-heavy_landrover_mechanized_fortress
lord of the hidden depths whisperer of nightmares,Lord of the Hidden Depths: Whisperer of Nightmares,boss_lord_of_the_hidden_depths_whisperer_of_nightmares
radiant moongecko,Radiant Moongecko,boss_radiant_moongecko
------,HUMANOID,------
iniquitous baptist,Iniquitous Baptist,boss_iniquitous_baptist
maguu kenki,Maguu Kenki,boss_maguu_kenki
icewind suite,Icewind Suite,boss_icewind_suite
