match,name,type,icon
------,------,HYPOSTASIS,------
anemo hypostasis,Anemo Hypostasis,Hypostasis,boss_anemo_hypostasis
electro hypostasis,Electro Hypostasis,Hypostasis,boss_electro_hypostasis
cryo hypostasis,Cryo Hypostasis,Hypostasis,boss_cryo_hypostasis
geo hypostasis,Geo Hypostasis,Hypostasis,boss_geo_hypostasis
pyro hypostasis,Pyro Hypostasis,Hypostasis,boss_pyro_hypostasis
hydro hypostasis,Hydro Hypostasis,Hypostasis,boss_hydro_hypostasis
dendro hypostasis,Dendro Hypostasis,Hypostasis,boss_dendro_hypostasis
------,------,REGISVINE,------
pyro regisvine,Pyro Regisvine,Regisvine,boss_pyro_regisvine
electro regisvine,Electro Regisvine,Regisvine,boss_electro_regisvine
------,------,MECHANICAL CONSTRUCT,------
ruin serpent,Ruin Serpent,Mechanical Construct,boss_ruin_serpent
perpetual mechanical,Perpetual Mechanical Array,Mechanical Construct,boss_perpetual_mechanical_array
aeonblight drake,Aeonblight Drake,Mechanical Construct,boss_aeonblight_drake
intransient matrix,Algorithm of Semi-Intransient Matrix of Overseer Network,Mechanical Construct,boss_algorithm_of_semi-intransient_matrix_of_overseer_network
prototype cal breguet,Boss Prototype Cal. Breguete,Mechanical Construct,boss_prototype_cal_breguet
------,------,ANIMAL,------
andrius,Andrius,Animal,boss_andrius
golden wolflord,Golden Wolflord,Animal,boss_golden_wolflord
jadeplume terrorshroom,Jadeplume Terrorshroom,Animal,boss_jadeplume_terrorshroom
coral defenders,Bathysmal Vishap Herd,Animal,boss_bathysmal_vishap_herd
primo geovishap,Primo Geovishap,Animal,boss_primo_geovishap
setekh wenut,Setekh Wenut,Animal,boss_setekh_wenut
millennial pearl seahorse,Millennial Pearl Seahorse,Animal,boss_millennial_pearl_seahorse
boss emperor of fire and iron,Boss Emperor of Fire and Iron,Animal,boss_emperor_of_fire_and_iron
------,ELEMENTAL,ELEMENTAL,------
rhodeia of loch,Rhodeia of Loch,Elemental,boss_oceanid
thunder manifestation,Thunder Manifestation,Elemental,boss_thunder_manifestation
hydro tulpa,Hydro Tulpa,Elemental,boss_hydro_tulpa
------,------,PERSON AND MECHANICAL,------
iniquitous baptist,Iniquitous Baptist,Person and Mechanical,boss_iniquitous_baptist
maguu kenki,Maguu Kenki,Person and Mechanical,boss_maguu_kenki
icewind suite,Icewind Suite,Person and Mechanical,boss_icewind_suite
